T,instance,density,algorithm,run,seed,elapsed,HV,IGD,GD,Spacing,F1,F2,F3,F4
50,1,1.0,MO-PSOGA-DAG,26,1382689816,705.795567035675,697.4409951579953,4.141227150091436,30.781004769176306,4.108446014979521,2.066667716301556,282.3703257130876,0.92,0.5370443497228768
50,1,1.0,MO-PSOGA-DAG,27,864178267,704.4798717498779,639.3953581391802,3.090941811011183,11.258555162375078,5.281072583176844,2.230232731839475,65.66123222504518,0.76,0.7412806839048307
50,1,1.0,MO-PSOGA-DAG,28,1766867110,720.0702888965607,656.8154935688652,4.727426316043116,25.329005047838905,12.829264635773548,2.331149061410877,246.95234784321818,0.94,0.5620642476241273
50,1,1.0,MO-PSOGA-DAG,30,952224741,696.7886624336243,703.6015406473837,3.1309512706369853,27.555774696698077,4.070170536087507,2.431110835483827,160.27771314591817,0.86,0.5043524484496912
50,1,1.0,NSGA-II,2,1662057958,969.2254388332367,98.92548450901769,1.6038721430357292,7.990169133731253,6.811551053522575,1.4714041309398018,58.09370071901854,1.0,0.4097441569038295
50,1,1.0,NSGA-II,1,191664964,989.7491571903229,137.92430413363886,2.9698248514881422,3.6045466663758514,17.47737111346457,1.325867259349756,52.08323171268478,1.0,0.2762762967920366
50,1,1.0,NSGA-II,3,1405681632,981.4386155605316,117.47393942393539,5.682157477889884,5.661576237946056,21.635970635461334,1.4028359662707421,33.53439481973554,0.98,0.5739732422993681
50,1,1.0,NSGA-II,5,929893138,975.0714411735535,117.79085628135297,5.723877944807865,5.886697317216078,6.600200839379137,1.522382954971429,38.758998800723134,0.98,0.5617143101843903
50,1,1.0,NSGA-II,4,942484272,988.648886680603,109.00651811664002,1.7573528273447843,3.9245135123649364,12.193250154337317,1.413430920168236,47.741330676844626,1.0,0.4055473808894468
50,1,1.0,NSGA-II,6,1843824993,990.7351598739624,136.20000490144344,3.459065657284287,3.6869715416061952,13.715105758976186,1.3115813888715264,25.71049518931496,0.98,0.42017464394060555
50,1,1.0,NSGA-II,8,1497586439,974.1216502189636,91.3555435559441,7.472916060097627,4.492606685187471,6.5807223803135395,1.5552067613250957,32.45650198843128,1.0,0.45315864580211973
50,1,1.0,NSGA-II,9,432652533,980.7005643844604,297.5116128597226,2.253604886312522,3.5398709954438616,20.032752391295325,1.4808581025214682,42.73237373340871,1.0,0.3425514739560668
50,1,1.0,NSGA-II,7,184566854,999.5496633052826,150.0113684559314,4.2047857840377905,4.8182562377853975,13.340673286462454,1.3745892011046847,44.071824777025384,1.0,0.5259903774645955
50,1,1.0,NSGA-II,10,202244314,992.5191535949707,205.4762158114327,2.7141907916960935,7.629519138063123,9.8209859795539,1.3800931476157818,54.59590763695553,0.98,0.37461635055641135
