T,instance,density,algorithm,run,seed,elapsed,HV,IGD,GD,Spacing,F1,F2,F3,F4
200,3,2.0,MO-PSOGA-DAG,8,1497586439,19213.176829099655,961.6628409393685,187.0629663507477,13.811626794866326,16.97845592813908,2.1191875225275667,1975.2496312243366,0.495,5.354655934988246
200,3,2.0,MO-PSOGA-DAG,7,184566854,19264.033630609512,2376.4544204549115,129.06057413551233,21.536618219293995,126.05764303398686,2.1141653576191355,556.6856909296789,0.455,6.8403508827604025
200,3,2.0,MO-PSOGA-DAG,3,1405681632,19273.440661907196,1751.0416364423559,121.13387979153791,27.67837008855858,609.067757173432,1.9813681258969416,380.5254414953015,0.47,6.184507377289828
200,3,2.0,MO-PSOGA-DAG,2,1662057958,19279.643702983856,2789.837411735446,103.75071002740161,34.111886481231096,54.56442441546121,2.832873280214555,837.8717074571823,0.51,4.2809967338964485
200,3,2.0,MO-PSOGA-DAG,4,942484272,19306.13696026802,1415.4154080527767,158.0684930884229,33.0734311258463,54.54071237596404,2.3078068484853276,692.5179049216438,0.45,4.24411196869679
200,3,2.0,MO-PSOGA-DAG,6,1843824993,19307.918214321136,6443.432923781652,173.38747243421878,29.161620137116675,390.9025874298254,2.5761702377282827,576.3821433717991,0.485,8.115762865942958
200,3,2.0,MO-PSOGA-DAG,10,202244314,19344.308609724045,3484.0898042429335,155.644609375435,38.418233675967116,35.735776547908415,2.1699337974587585,538.644686739282,0.465,2.959692404610129
200,3,2.0,MO-PSOGA-DAG,1,191664964,19360.63573241234,1638.502881485445,202.80736331577242,27.502376311387543,93.80766708112978,2.677259549536931,510.3987888424101,0.49,5.174535887613342
200,3,2.0,MO-PSOGA-DAG,5,929893138,19367.07575249672,4189.864134232793,145.0987679665053,38.32398641192767,64.1228552781945,2.9599448925738123,1716.060752244999,0.53,3.645352490153912
200,3,2.0,MO-PSOGA-DAG,9,432652533,19421.873257875443,1742.9695743078764,180.4447282044058,29.87898753002176,66.94225940736298,2.1550761593978023,555.7568084367074,0.475,6.891485379287507
200,3,2.0,MO-PSOGA-DAG,13,1580016184,18992.287301778793,3524.997108885133,152.7678285242676,24.67334008566625,120.44190844886147,2.0134845031704036,547.8069499032933,0.45,7.007329929144774
200,3,2.0,MO-PSOGA-DAG,11,1130604998,19088.435356140137,5404.826007195875,101.07979853244461,55.77444869461544,221.65395494899934,2.468495001120479,1928.5684105945363,0.465,4.8556072590822135
200,3,2.0,MO-PSOGA-DAG,19,1803345591,19005.05309033394,2124.621208603633,114.77078967708493,50.201610319971635,84.86709156895081,2.181804336372471,960.7929604405243,0.465,4.791230344303368
200,3,2.0,MO-PSOGA-DAG,15,1540770720,19084.58219075203,3343.4273966673404,85.17540591664093,31.337233931695664,46.533770227209324,2.028343589426679,1627.9575956417134,0.47,7.3425811574879445
200,3,2.0,MO-PSOGA-DAG,12,2095133046,19140.96200108528,1868.7518755355775,177.85801584606114,21.044816836906094,19.5118335211977,2.9934315410480616,833.4013079227764,0.515,4.276558666539778
200,3,2.0,MO-PSOGA-DAG,14,1634535063,19145.976640224457,1908.3645408420361,189.2354917918964,29.47294692006021,13.41418890677681,2.143418311892159,1750.0594720912154,0.485,5.893647405094298
200,3,2.0,MO-PSOGA-DAG,16,1688060241,19135.518493652344,2448.8657418952757,150.80071969028867,19.17098866046512,107.00424117284189,2.379996163174563,617.6877896789606,0.475,5.558402574670384
200,3,2.0,MO-PSOGA-DAG,17,1102145673,19106.61296582222,2131.1050991922275,219.3898013865859,22.532264395954197,77.97139739071979,2.1557501878344856,907.7193041100643,0.46,7.253367544703918
200,3,2.0,MO-PSOGA-DAG,18,275121931,19193.02441549301,1916.7699538350857,149.83058754364717,38.556704760814895,43.264746131563506,2.4038059503083065,701.7372950385654,0.455,6.800453725156599
200,3,2.0,MO-PSOGA-DAG,20,967196436,19289.387625932693,3081.438815353797,159.17505440419006,45.85698528427055,70.31606279823094,1.912024490320214,717.8997078671407,0.46,6.090628052551327
200,3,2.0,MO-PSOGA-DAG,24,1990212659,18528.4199655056,1495.9328064297044,168.15524398547473,29.21034744029217,242.91106565549444,2.8782549493936247,1407.430218969267,0.51,4.418238491732939
200,3,2.0,MO-PSOGA-DAG,22,796282693,18623.316630363464,2301.4513694238167,112.99688444739944,27.019811820969522,128.6041833280461,1.952121292613169,475.7089022174196,0.445,6.187611869787036
200,3,2.0,MO-PSOGA-DAG,25,1678403331,18529.82065296173,4415.551206922919,155.6191822407745,31.033531956545836,66.74675877673317,2.1820062612430666,2311.6430951651246,0.49,3.880206078148716
200,3,2.0,MO-PSOGA-DAG,21,1074497556,18695.801496982574,3138.496518677192,128.41530835759514,43.66213106662497,654.7502282115669,2.005864201661737,468.43258660537515,0.46,7.399680079384243
200,3,2.0,MO-PSOGA-DAG,26,1382689816,18541.78376674652,1862.143567931511,163.03341473336275,27.195704989559758,41.65229846850104,3.018639636019391,705.2826924417853,0.53,6.359031214199332
200,3,2.0,MO-PSOGA-DAG,23,392022359,18613.359942913055,2363.39207534407,162.40083604508246,47.04476810263435,44.6642518083849,1.9276572660905837,639.2934356434096,0.455,6.801025732641299
200,3,2.0,MO-PSOGA-DAG,27,864178267,18573.9011220932,2451.1964013359066,258.8739159262093,33.782829519135625,81.65981442993805,2.0537461735993103,594.3811737691458,0.475,4.19314249377837
200,3,2.0,MO-PSOGA-DAG,28,1766867110,18584.450273275375,2694.1111271301384,189.19496573415762,15.855786154261017,224.324917107295,2.5684680145394974,1315.984040333287,0.495,5.519813355949128
200,3,2.0,MO-PSOGA-DAG,29,1171300113,18661.07592368126,2592.705415240482,146.70900196097094,27.607959890512678,95.08853170787995,2.369421236710713,1945.4071247107906,0.46,5.614165519562661
200,3,2.0,MO-PSOGA-DAG,30,952224741,18703.586963176727,1785.2807251269985,147.43951658823326,17.39835194367368,155.16290112299546,2.4626269749335146,1748.7561793101625,0.48,6.620771054249516
200,3,2.0,NSGA-II,8,1497586439,11082.399029493332,0.369748833067444,1168.0958274868365,4.721255007777153,0.0,3.329590880355536,1593.6149181445119,0.845,1.422637326570114
200,3,2.0,NSGA-II,4,942484272,11270.70026087761,60.49332600830156,1026.1084258344138,18.835493090172612,20.0345163459547,3.5719728022921187,1489.83507578369,0.775,1.5712575986646071
200,3,2.0,NSGA-II,6,1843824993,11322.243711948395,3.1379386636846545,1119.5874423041064,47.693308263338395,0.0,3.3033229621158573,1510.3287583236654,0.835,1.2181999263308543
200,3,2.0,NSGA-II,1,191664964,11425.02364039421,94.41042554589882,1000.2284534635452,25.160014319471845,60.60299677456605,3.487209701608494,1559.9006560332377,0.82,1.4695932500931976
200,3,2.0,NSGA-II,3,1405681632,11496.500763177872,6.183779638001414,1056.690779030667,5.885255629646374,0.0,3.241615189998581,1721.897643313742,0.825,1.371779640463087
200,3,2.0,NSGA-II,7,184566854,11459.749922275543,28.984306025439714,1024.2826822270442,19.524978162270706,9.125639092376769,3.815721512053241,1543.6229919267175,0.805,1.4429155192585916
200,3,2.0,NSGA-II,10,202244314,11106.449435949326,71.14649391726158,963.7709622435683,23.234330671276734,21.63715931572,3.4728719141298683,1501.2477418216008,0.83,1.45521636931972
200,3,2.0,NSGA-II,2,1662057958,11691.855315446854,0.0,1173.4655622351313,6.077962131995926,0.0,3.1847131839671117,1572.6138886750155,0.805,1.5098949202263758
200,3,2.0,NSGA-II,9,432652533,11539.443118333817,5.841881975489319,1068.5611924360874,6.2682946639306705,53.07980770363171,3.3638426521986613,1610.8691458163219,0.83,1.4081285876886955
200,3,2.0,NSGA-II,5,929893138,11790.59602689743,39.79773795567808,984.2900245444994,12.440301049327397,76.57424941806418,3.5627040139912607,1362.0941917787202,0.82,1.2873678839047618
200,3,2.0,NSGA-II,15,1540770720,9922.010139226913,50.57569644094366,1038.6851507866093,21.72428243257066,23.40721809034876,3.279761215302391,1523.0223981515203,0.84,1.4317506585465218
200,3,2.0,NSGA-II,13,1580016184,10557.101591825485,5.642561880467603,1084.9249168931142,30.616990977480583,86.00285342256487,3.2038160783305853,1485.2467857695078,0.835,1.4139196976120179
200,3,2.0,NSGA-II,18,275121931,10355.774486780167,55.24296757227605,1096.0614254325938,20.4788481344026,20.902408883132125,3.4668888463013223,1602.024869891139,0.805,1.4759036606279614
200,3,2.0,NSGA-II,11,1130604998,11077.697020292282,286.9174258150579,1083.5759935441624,23.503467571944167,46.8956033463851,3.383395478598221,1954.6971007762456,0.8,1.4731277447144104
200,3,2.0,NSGA-II,12,2095133046,10986.053857088089,261.2236592375018,1097.3291844983069,28.86849157620091,35.61887962117915,3.3624756617410365,1775.2904306528426,0.82,1.4347705331834215
